script_id,title,year,gross,writer,producer,director,total female words,total male words,percentage female,percentage male
1530,30 Minutes or Less,2011,40,m,m,m,704,14278,5%,95%
1534,(500) Days of Summer,2009,37,m,m,m,5738,12762,31%,69%
1556,The Adjustment Bureau,2011,68,m,m,m,3222,12258,21%,79%
1603,All About Steve,2009,39,f,f,m,8644,6901,56%,44%
1606,Almost Famous,2000,52,m,m,m,6766,16484,29%,71%
1613,Amelia,2009,16,f,m,f,17014,13622,56%,44%
1628,American Hustle,2013,160,m,m,m,5507,16441,25%,75%
1634,American Outlaws,2001,20,m,m,m,911,10438,8%,92%
1639,American Psycho,2000,24,m,m,f,3212,13962,19%,81%
1647,The Amityville Asylum,2013,,m,m,m,5009,5769,46%,54%
1650,An Education,2009,14,f,f,f,14330,6292,69%,31%
1657,Angels & Demons,2009,154,m,m,m,2848,15272,16%,84%
1659,Anna Karenina,2012,13,m,m,m,4819,6147,44%,56%
1669,Antitrust,2001,16,m,m,m,3686,15668,19%,81%
1684,Arbitrage,2012,8,m,m,m,2198,9737,18%,82%
1691,Argo,2012,148,m,m,m,345,8919,4%,96%
1718,Avatar,2009,882,m,f,m,5962,11470,34%,66%
1723,The Avengers,2012,680,m,f,m,1723,11207,13%,87%
1727,Babel,2006,45,m,m,m,4118,11836,26%,74%
1734,The Back-up Plan,2010,41,f,m,m,8090,4246,66%,34%
1746,Bad Teacher,2011,109,m,m,m,10782,4489,71%,29%
1759,Basic,2003,38,m,m,m,2078,12456,14%,86%
1773,Batman Begins,2005,278,m,m,m,2096,10274,17%,83%
1792,Beasts of the Southern Wild,2012,13,f,m,m,2325,1706,58%,42%
1796,Beginners,2010,6,m,f,m,2502,8861,22%,78%
1810,The Best Exotic Marigold Hotel,2011,50,m,m,m,7094,9259,43%,57%
1841,Black Swan,2010,117,m,m,m,2444,1947,56%,44%
1846,Blade II,2002,122,m,m,m,2064,9512,18%,82%
1855,The Blind Side,2009,296,m,m,m,7890,7144,52%,48%
1856,The Bling Ring,2013,6,f,m,f,4193,1582,73%,27%
1863,Blow,2001,81,m,m,m,3342,21740,13%,87%
1886,The Book of Eli,2010,104,m,f,m,4598,14518,24%,76%
